                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                 0.0025,                 0.6718,                 0.0207,                0.00543,                    nan,                    nan,                    nan,             0.00047376,             0.00047376,             0.00047376
                      2,                    nan,                    nan,                    nan,                0.00246,                0.65441,                0.02217,                0.00549,                    nan,                    nan,                    nan,             0.00091247,             0.00091247,             0.00091247
                      3,                    nan,                    nan,                    nan,                0.00236,                0.63339,                0.01913,                0.00484,                    nan,                    nan,                    nan,              0.0013135,              0.0013135,              0.0013135
                      4,                    nan,                    nan,                    nan,                0.00248,                0.65577,                0.02111,                0.00521,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
                      5,                    nan,                    nan,                    nan,                0.00235,                 0.6333,                0.02108,                0.00552,                    nan,                    nan,                    nan,              0.0012026,              0.0012026,              0.0012026
                      6,                    nan,                    nan,                    nan,                0.00244,                  0.646,                0.02117,                0.00532,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                      7,                    nan,                    nan,                    nan,                0.00242,                0.64591,                0.02138,                0.00548,                    nan,                    nan,                    nan,              0.0010895,              0.0010895,              0.0010895
                      8,                    nan,                    nan,                    nan,                0.00241,                0.64282,                0.02135,                0.00544,                    nan,                    nan,                    nan,              0.0010329,              0.0010329,              0.0010329
                      9,                    nan,                    nan,                    nan,                0.00243,                0.64642,                0.02058,                0.00526,                    nan,                    nan,                    nan,             0.00097629,             0.00097629,             0.00097629
                     10,                    nan,                    nan,                    nan,                0.00241,                0.64016,                 0.0213,                0.00535,                    nan,                    nan,                    nan,              0.0009197,              0.0009197,              0.0009197
                     11,                    nan,                    nan,                    nan,                0.00242,                0.64933,                0.02105,                0.00535,                    nan,                    nan,                    nan,             0.00086312,             0.00086312,             0.00086312
                     12,                    nan,                    nan,                    nan,                0.00237,                0.63305,                0.02053,                0.00526,                    nan,                    nan,                    nan,             0.00080653,             0.00080653,             0.00080653
                     13,                    nan,                    nan,                    nan,                0.00243,                0.64207,                0.02114,                0.00562,                    nan,                    nan,                    nan,             0.00074994,             0.00074994,             0.00074994
                     14,                    nan,                    nan,                    nan,                 0.0024,                0.64274,                0.02087,                0.00542,                    nan,                    nan,                    nan,             0.00069335,             0.00069335,             0.00069335
                     15,                    nan,                    nan,                    nan,                0.00242,                0.64975,                0.02144,                0.00556,                    nan,                    nan,                    nan,             0.00063676,             0.00063676,             0.00063676
                     16,                    nan,                    nan,                    nan,                0.00242,                0.63364,                0.01882,                0.00483,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
                     17,                    nan,                    nan,                    nan,                0.00243,                0.63364,                0.01933,                0.00491,                    nan,                    nan,                    nan,             0.00052359,             0.00052359,             0.00052359
                     18,                    nan,                    nan,                    nan,                0.00242,                0.64314,                0.01938,                0.00498,                    nan,                    nan,                    nan,               0.000467,               0.000467,               0.000467
                     19,                    nan,                    nan,                    nan,                 0.0024,                0.62662,                0.01772,                0.00475,                    nan,                    nan,                    nan,             0.00041041,             0.00041041,             0.00041041
                     20,                    nan,                    nan,                    nan,                0.00236,                0.63028,                0.01745,                 0.0046,                    nan,                    nan,                    nan,             0.00035382,             0.00035382,             0.00035382
                     21,                    nan,                    nan,                    nan,                0.00254,                0.65944,                0.01993,                0.00528,                    nan,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
                     22,                    nan,                    nan,                    nan,                0.00246,                 0.6399,                0.01854,                0.00473,                    nan,                    nan,                    nan,             0.00024064,             0.00024064,             0.00024064
                     23,                    nan,                    nan,                    nan,                0.00239,                0.62962,                0.01832,                0.00479,                    nan,                    nan,                    nan,             0.00018406,             0.00018406,             0.00018406
                     24,                    nan,                    nan,                    nan,                 0.0025,                0.64924,                0.01852,                  0.005,                    nan,                    nan,                    nan,             0.00012747,             0.00012747,             0.00012747
                     25,                    nan,                    nan,                    nan,                0.00246,                0.63605,                0.01848,                0.00484,                    nan,                    nan,                    nan,             7.0878e-05,             7.0878e-05,             7.0878e-05
